zone_id,delivery_timestamp,delivery_count,vehicle_type,distance_km
ZONE_A,2024-01-01 00:00:00,10,van,6.95
ZONE_A,2024-01-01 01:00:00,11,motorcycle,3.09
ZONE_A,2024-01-01 02:00:00,9,van,2.5
ZONE_A,2024-01-01 03:00:00,11,motorcycle,4.67
ZONE_A,2024-01-01 04:00:00,13,motorcycle,5.49
ZONE_A,2024-01-01 05:00:00,12,van,13.45
ZONE_A,2024-01-01 06:00:00,10,motorcycle,13.52
ZONE_A,2024-01-01 07:00:00,12,van,8.27
ZONE_A,2024-01-01 08:00:00,11,motorcycle,9.36
ZONE_A,2024-01-01 09:00:00,33,motorcycle,8.4
ZONE_A,2024-01-01 10:00:00,34,van,8.41
ZONE_A,2024-01-01 11:00:00,29,van,4.31
ZONE_A,2024-01-01 12:00:00,45,motorcycle,5.94
ZONE_A,2024-01-01 13:00:00,54,truck,11.78
ZONE_A,2024-01-01 14:00:00,31,truck,4.09
ZONE_A,2024-01-01 15:00:00,36,motorcycle,12.94
ZONE_A,2024-01-01 16:00:00,39,van,11.53
ZONE_A,2024-01-01 17:00:00,33,van,10.97
ZONE_A,2024-01-01 18:00:00,39,motorcycle,6.0
ZONE_A,2024-01-01 19:00:00,14,truck,14.46
ZONE_A,2024-01-01 20:00:00,11,motorcycle,12.05
ZONE_A,2024-01-01 21:00:00,11,motorcycle,6.96
ZONE_A,2024-01-01 22:00:00,8,motorcycle,13.57
ZONE_A,2024-01-01 23:00:00,7,truck,10.3
ZONE_A,2024-01-02 00:00:00,7,truck,12.61
ZONE_A,2024-01-02 01:00:00,8,motorcycle,3.6
ZONE_A,2024-01-02 02:00:00,8,van,9.09
ZONE_A,2024-01-02 03:00:00,6,van,12.87
ZONE_A,2024-01-02 04:00:00,8,van,9.56
ZONE_A,2024-01-02 05:00:00,9,motorcycle,5.46
ZONE_A,2024-01-02 06:00:00,6,motorcycle,11.67
ZONE_A,2024-01-02 07:00:00,7,truck,8.14
ZONE_A,2024-01-02 08:00:00,9,motorcycle,1.74
ZONE_A,2024-01-02 09:00:00,33,van,3.11
ZONE_A,2024-01-02 10:00:00,22,truck,4.37
ZONE_A,2024-01-02 11:00:00,23,van,6.21
ZONE_A,2024-01-02 12:00:00,33,motorcycle,12.08
ZONE_A,2024-01-02 13:00:00,29,van,12.05
ZONE_A,2024-01-02 14:00:00,31,motorcycle,13.65
ZONE_A,2024-01-02 15:00:00,24,truck,5.09
ZONE_A,2024-01-02 16:00:00,29,truck,1.54
ZONE_A,2024-01-02 17:00:00,26,truck,12.48
ZONE_A,2024-01-02 18:00:00,37,van,5.01
ZONE_A,2024-01-02 19:00:00,10,truck,5.13
ZONE_A,2024-01-02 20:00:00,6,motorcycle,1.91
ZONE_A,2024-01-02 21:00:00,9,truck,12.76
ZONE_A,2024-01-02 22:00:00,8,truck,1.02
ZONE_A,2024-01-02 23:00:00,8,van,14.27
ZONE_A,2024-01-03 00:00:00,5,truck,10.8
ZONE_A,2024-01-03 01:00:00,8,truck,10.85
ZONE_A,2024-01-03 02:00:00,6,truck,5.18
ZONE_A,2024-01-03 03:00:00,7,truck,5.14
ZONE_A,2024-01-03 04:00:00,10,van,1.22
ZONE_A,2024-01-03 05:00:00,7,motorcycle,14.85
ZONE_A,2024-01-03 06:00:00,8,van,7.78
ZONE_A,2024-01-03 07:00:00,7,van,6.23
ZONE_A,2024-01-03 08:00:00,8,van,7.64
ZONE_A,2024-01-03 09:00:00,21,van,7.57
ZONE_A,2024-01-03 10:00:00,21,van,9.1
ZONE_A,2024-01-03 11:00:00,20,motorcycle,2.65
ZONE_A,2024-01-03 12:00:00,40,truck,2.94
ZONE_A,2024-01-03 13:00:00,28,motorcycle,5.01
ZONE_A,2024-01-03 14:00:00,30,motorcycle,13.13
ZONE_A,2024-01-03 15:00:00,28,van,6.09
ZONE_A,2024-01-03 16:00:00,29,motorcycle,14.74
ZONE_A,2024-01-03 17:00:00,29,motorcycle,9.24
ZONE_A,2024-01-03 18:00:00,35,van,3.48
ZONE_A,2024-01-03 19:00:00,13,truck,12.47
ZONE_A,2024-01-03 20:00:00,7,truck,9.8
ZONE_A,2024-01-03 21:00:00,5,motorcycle,13.52
ZONE_A,2024-01-03 22:00:00,9,van,6.24
ZONE_A,2024-01-03 23:00:00,8,van,10.23
ZONE_A,2024-01-04 00:00:00,9,van,4.98
ZONE_A,2024-01-04 01:00:00,8,truck,13.56
ZONE_A,2024-01-04 02:00:00,6,van,1.9
ZONE_A,2024-01-04 03:00:00,6,motorcycle,7.2
ZONE_A,2024-01-04 04:00:00,6,van,10.88
ZONE_A,2024-01-04 05:00:00,7,truck,4.79
ZONE_A,2024-01-04 06:00:00,7,truck,5.6
ZONE_A,2024-01-04 07:00:00,8,motorcycle,7.18
ZONE_A,2024-01-04 08:00:00,7,van,7.95
ZONE_A,2024-01-04 09:00:00,29,motorcycle,4.39
ZONE_A,2024-01-04 10:00:00,20,truck,6.13
ZONE_A,2024-01-04 11:00:00,29,truck,8.41
ZONE_A,2024-01-04 12:00:00,29,truck,10.95
ZONE_A,2024-01-04 13:00:00,40,motorcycle,6.78
ZONE_A,2024-01-04 14:00:00,18,truck,3.12
